HGHT (km)		TEMP (K)		PRES (hPa)
2.758E+02		1.831E+02		1.450E-01
2.757E+02		1.834E+02		1.455E-01
2.755E+02		1.835E+02		1.459E-01
2.754E+02		1.832E+02		1.464E-01
2.752E+02		1.826E+02		1.469E-01
2.750E+02		1.821E+02		1.474E-01
2.749E+02		1.822E+02		1.478E-01
2.747E+02		1.829E+02		1.483E-01
2.746E+02		1.837E+02		1.488E-01
2.744E+02		1.840E+02		1.493E-01
2.743E+02		1.835E+02		1.498E-01
2.741E+02		1.825E+02		1.502E-01
2.739E+02		1.817E+02		1.507E-01
2.738E+02		1.814E+02		1.512E-01
2.736E+02		1.817E+02		1.517E-01
2.735E+02		1.822E+02		1.522E-01
2.733E+02		1.823E+02		1.527E-01
2.731E+02		1.821E+02		1.532E-01
2.730E+02		1.819E+02		1.537E-01
2.728E+02		1.821E+02		1.542E-01
2.727E+02		1.828E+02		1.547E-01
2.725E+02		1.834E+02		1.552E-01
2.723E+02		1.832E+02		1.557E-01
2.722E+02		1.826E+02		1.562E-01
2.720E+02		1.819E+02		1.567E-01
2.719E+02		1.816E+02		1.572E-01
2.717E+02		1.816E+02		1.577E-01
2.715E+02		1.817E+02		1.582E-01
2.714E+02		1.822E+02		1.588E-01
2.712E+02		1.826E+02		1.593E-01
2.711E+02		1.826E+02		1.598E-01
2.709E+02		1.821E+02		1.603E-01
2.707E+02		1.815E+02		1.608E-01
2.706E+02		1.811E+02		1.614E-01
2.704E+02		1.810E+02		1.619E-01
2.703E+02		1.810E+02		1.624E-01
2.701E+02		1.811E+02		1.630E-01
2.699E+02		1.813E+02		1.635E-01
2.698E+02		1.814E+02		1.640E-01
2.696E+02		1.813E+02		1.646E-01
2.695E+02		1.808E+02		1.651E-01
2.693E+02		1.803E+02		1.656E-01
2.692E+02		1.801E+02		1.662E-01
2.690E+02		1.803E+02		1.667E-01
2.688E+02		1.809E+02		1.673E-01
2.687E+02		1.814E+02		1.678E-01
2.685E+02		1.814E+02		1.684E-01
2.684E+02		1.809E+02		1.689E-01
2.682E+02		1.804E+02		1.695E-01
2.680E+02		1.802E+02		1.700E-01
2.679E+02		1.804E+02		1.706E-01
2.677E+02		1.807E+02		1.712E-01
2.676E+02		1.810E+02		1.717E-01
2.674E+02		1.814E+02		1.723E-01
2.672E+02		1.820E+02		1.728E-01
2.671E+02		1.829E+02		1.734E-01
2.669E+02		1.831E+02		1.740E-01
2.668E+02		1.827E+02		1.745E-01
2.666E+02		1.820E+02		1.751E-01
2.664E+02		1.815E+02		1.757E-01
2.663E+02		1.813E+02		1.762E-01
2.661E+02		1.814E+02		1.768E-01
2.660E+02		1.813E+02		1.774E-01
2.658E+02		1.811E+02		1.780E-01
2.657E+02		1.809E+02		1.786E-01
2.655E+02		1.810E+02		1.792E-01
2.653E+02		1.814E+02		1.797E-01
2.652E+02		1.817E+02		1.803E-01
2.650E+02		1.816E+02		1.809E-01
2.649E+02		1.813E+02		1.815E-01
2.647E+02		1.813E+02		1.821E-01
2.645E+02		1.814E+02		1.827E-01
2.644E+02		1.812E+02		1.833E-01
2.642E+02		1.808E+02		1.839E-01
2.641E+02		1.804E+02		1.845E-01
2.639E+02		1.804E+02		1.851E-01
2.637E+02		1.805E+02		1.857E-01
2.636E+02		1.807E+02		1.863E-01
2.634E+02		1.809E+02		1.869E-01
2.633E+02		1.808E+02		1.876E-01
2.631E+02		1.807E+02		1.882E-01
2.629E+02		1.808E+02		1.888E-01
2.628E+02		1.808E+02		1.894E-01
2.626E+02		1.805E+02		1.901E-01
2.625E+02		1.802E+02		1.907E-01
2.623E+02		1.802E+02		1.913E-01
2.621E+02		1.807E+02		1.919E-01
2.620E+02		1.811E+02		1.926E-01
2.618E+02		1.814E+02		1.932E-01
2.617E+02		1.817E+02		1.938E-01
2.615E+02		1.822E+02		1.945E-01
2.614E+02		1.823E+02		1.951E-01
2.612E+02		1.816E+02		1.957E-01
2.610E+02		1.807E+02		1.964E-01
2.609E+02		1.800E+02		1.970E-01
2.607E+02		1.799E+02		1.977E-01
2.606E+02		1.802E+02		1.983E-01
2.604E+02		1.806E+02		1.990E-01
2.602E+02		1.806E+02		1.997E-01
2.601E+02		1.803E+02		2.003E-01
2.599E+02		1.800E+02		2.010E-01
2.598E+02		1.799E+02		2.016E-01
2.596E+02		1.802E+02		2.023E-01
2.594E+02		1.807E+02		2.030E-01
2.593E+02		1.811E+02		2.036E-01
2.591E+02		1.811E+02		2.043E-01
2.590E+02		1.810E+02		2.050E-01
2.588E+02		1.809E+02		2.057E-01
2.586E+02		1.808E+02		2.064E-01
2.585E+02		1.808E+02		2.070E-01
2.583E+02		1.805E+02		2.077E-01
2.582E+02		1.802E+02		2.084E-01
2.580E+02		1.800E+02		2.091E-01
2.579E+02		1.802E+02		2.098E-01
2.577E+02		1.804E+02		2.105E-01
2.575E+02		1.808E+02		2.112E-01
2.574E+02		1.810E+02		2.119E-01
2.572E+02		1.811E+02		2.126E-01
2.571E+02		1.811E+02		2.133E-01
2.569E+02		1.810E+02		2.140E-01
2.567E+02		1.807E+02		2.147E-01
