HGHT (km)		TEMP (K)		PRES (hPa)
1.951E+02		1.714E+02		8.198E-01
1.950E+02		1.714E+02		8.228E-01
1.948E+02		1.712E+02		8.257E-01
1.947E+02		1.709E+02		8.287E-01
1.945E+02		1.708E+02		8.317E-01
1.943E+02		1.708E+02		8.347E-01
1.942E+02		1.709E+02		8.378E-01
1.940E+02		1.710E+02		8.408E-01
1.939E+02		1.711E+02		8.439E-01
1.937E+02		1.711E+02		8.469E-01
1.936E+02		1.710E+02		8.500E-01
1.934E+02		1.710E+02		8.531E-01
1.932E+02		1.710E+02		8.562E-01
1.931E+02		1.711E+02		8.593E-01
1.929E+02		1.711E+02		8.624E-01
1.928E+02		1.711E+02		8.655E-01
1.926E+02		1.711E+02		8.686E-01
1.924E+02		1.711E+02		8.718E-01
1.923E+02		1.713E+02		8.750E-01
1.921E+02		1.714E+02		8.781E-01
1.920E+02		1.714E+02		8.813E-01
1.918E+02		1.713E+02		8.845E-01
1.917E+02		1.711E+02		8.877E-01
1.915E+02		1.709E+02		8.909E-01
1.913E+02		1.708E+02		8.941E-01
1.912E+02		1.708E+02		8.974E-01
1.910E+02		1.709E+02		9.007E-01
1.909E+02		1.710E+02		9.039E-01
1.907E+02		1.711E+02		9.072E-01
1.906E+02		1.711E+02		9.105E-01
1.904E+02		1.711E+02		9.138E-01
1.902E+02		1.710E+02		9.171E-01
1.901E+02		1.709E+02		9.204E-01
1.899E+02		1.707E+02		9.238E-01
1.898E+02		1.705E+02		9.271E-01
1.896E+02		1.704E+02		9.305E-01
1.895E+02		1.703E+02		9.339E-01
1.893E+02		1.704E+02		9.373E-01
1.891E+02		1.704E+02		9.407E-01
1.890E+02		1.704E+02		9.442E-01
1.888E+02		1.703E+02		9.476E-01
1.887E+02		1.702E+02		9.511E-01
1.885E+02		1.702E+02		9.546E-01
1.884E+02		1.702E+02		9.580E-01
1.882E+02		1.702E+02		9.616E-01
1.880E+02		1.703E+02		9.651E-01
1.879E+02		1.704E+02		9.686E-01
1.877E+02		1.704E+02		9.721E-01
1.876E+02		1.703E+02		9.757E-01
1.874E+02		1.701E+02		9.792E-01
1.872E+02		1.701E+02		9.828E-01
1.871E+02		1.701E+02		9.864E-01
1.869E+02		1.701E+02		9.900E-01
1.868E+02		1.702E+02		9.936E-01
1.866E+02		1.702E+02		9.973E-01
1.865E+02		1.703E+02		1.001E+00
1.863E+02		1.704E+02		1.005E+00
1.861E+02		1.704E+02		1.008E+00
1.860E+02		1.704E+02		1.012E+00
1.858E+02		1.703E+02		1.016E+00
1.857E+02		1.703E+02		1.019E+00
1.855E+02		1.702E+02		1.023E+00
1.854E+02		1.701E+02		1.027E+00
1.852E+02		1.700E+02		1.031E+00
1.850E+02		1.700E+02		1.034E+00
1.849E+02		1.701E+02		1.038E+00
1.847E+02		1.701E+02		1.042E+00
1.846E+02		1.702E+02		1.046E+00
1.844E+02		1.701E+02		1.050E+00
1.843E+02		1.701E+02		1.053E+00
1.841E+02		1.701E+02		1.057E+00
1.839E+02		1.701E+02		1.061E+00
1.838E+02		1.701E+02		1.065E+00
1.836E+02		1.700E+02		1.069E+00
1.835E+02		1.699E+02		1.073E+00
1.833E+02		1.699E+02		1.077E+00
1.832E+02		1.698E+02		1.081E+00
1.830E+02		1.698E+02		1.085E+00
1.828E+02		1.698E+02		1.089E+00
1.827E+02		1.698E+02		1.093E+00
1.825E+02		1.697E+02		1.097E+00
1.824E+02		1.696E+02		1.101E+00
1.822E+02		1.695E+02		1.105E+00
1.821E+02		1.694E+02		1.109E+00
1.819E+02		1.694E+02		1.113E+00
1.817E+02		1.693E+02		1.117E+00
1.816E+02		1.693E+02		1.121E+00
1.814E+02		1.692E+02		1.125E+00
1.813E+02		1.691E+02		1.129E+00
1.811E+02		1.690E+02		1.134E+00
1.809E+02		1.689E+02		1.138E+00
1.808E+02		1.689E+02		1.142E+00
1.806E+02		1.689E+02		1.146E+00
1.805E+02		1.689E+02		1.151E+00
1.803E+02		1.689E+02		1.155E+00
1.802E+02		1.689E+02		1.159E+00
1.800E+02		1.689E+02		1.163E+00
1.798E+02		1.688E+02		1.168E+00
1.797E+02		1.688E+02		1.172E+00
1.795E+02		1.688E+02		1.176E+00
1.794E+02		1.687E+02		1.181E+00
1.792E+02		1.686E+02		1.185E+00
1.791E+02		1.685E+02		1.189E+00
1.789E+02		1.685E+02		1.194E+00
1.787E+02		1.686E+02		1.198E+00
1.786E+02		1.686E+02		1.203E+00
1.784E+02		1.686E+02		1.207E+00
1.783E+02		1.685E+02		1.212E+00
1.781E+02		1.685E+02		1.216E+00
1.780E+02		1.685E+02		1.221E+00
1.778E+02		1.684E+02		1.225E+00
1.776E+02		1.684E+02		1.230E+00
1.775E+02		1.683E+02		1.234E+00
1.773E+02		1.684E+02		1.239E+00
1.772E+02		1.684E+02		1.243E+00
1.770E+02		1.683E+02		1.248E+00
1.769E+02		1.683E+02		1.253E+00
1.767E+02		1.683E+02		1.257E+00
1.765E+02		1.684E+02		1.262E+00
1.764E+02		1.684E+02		1.267E+00
1.762E+02		1.686E+02		1.271E+00
1.761E+02		1.687E+02		1.276E+00
1.759E+02		1.688E+02		1.281E+00
1.758E+02		1.688E+02		1.286E+00
1.756E+02		1.686E+02		1.290E+00
1.754E+02		1.686E+02		1.295E+00
1.753E+02		1.686E+02		1.300E+00
1.751E+02		1.686E+02		1.305E+00
1.750E+02		1.686E+02		1.310E+00
1.748E+02		1.685E+02		1.315E+00
1.747E+02		1.684E+02		1.319E+00
1.745E+02		1.684E+02		1.324E+00
1.743E+02		1.683E+02		1.329E+00
1.742E+02		1.682E+02		1.334E+00
1.740E+02		1.681E+02		1.339E+00
1.739E+02		1.679E+02		1.344E+00
1.737E+02		1.679E+02		1.349E+00
1.736E+02		1.678E+02		1.354E+00
1.734E+02		1.678E+02		1.359E+00
1.732E+02		1.678E+02		1.364E+00
1.731E+02		1.678E+02		1.370E+00
1.729E+02		1.678E+02		1.375E+00
1.728E+02		1.677E+02		1.380E+00
1.726E+02		1.677E+02		1.385E+00
1.725E+02		1.676E+02		1.390E+00
1.723E+02		1.675E+02		1.395E+00
1.721E+02		1.674E+02		1.401E+00
1.720E+02		1.674E+02		1.406E+00
1.718E+02		1.673E+02		1.411E+00
1.717E+02		1.673E+02		1.416E+00
1.715E+02		1.673E+02		1.422E+00
1.714E+02		1.673E+02		1.427E+00
1.712E+02		1.673E+02		1.432E+00
1.710E+02		1.671E+02		1.438E+00
1.709E+02		1.670E+02		1.443E+00
1.707E+02		1.669E+02		1.448E+00
1.706E+02		1.668E+02		1.454E+00
1.704E+02		1.667E+02		1.459E+00
1.703E+02		1.667E+02		1.465E+00
1.701E+02		1.667E+02		1.470E+00
1.699E+02		1.667E+02		1.476E+00
1.698E+02		1.666E+02		1.482E+00
1.696E+02		1.666E+02		1.487E+00
1.695E+02		1.665E+02		1.493E+00
1.693E+02		1.664E+02		1.498E+00
1.692E+02		1.662E+02		1.504E+00
1.690E+02		1.661E+02		1.510E+00
1.688E+02		1.660E+02		1.515E+00
1.687E+02		1.660E+02		1.521E+00
1.685E+02		1.661E+02		1.527E+00
1.684E+02		1.663E+02		1.533E+00
1.682E+02		1.663E+02		1.538E+00
1.681E+02		1.663E+02		1.544E+00
1.679E+02		1.663E+02		1.550E+00
1.677E+02		1.662E+02		1.556E+00
1.676E+02		1.661E+02		1.562E+00
1.674E+02		1.661E+02		1.568E+00
1.673E+02		1.661E+02		1.574E+00
1.671E+02		1.661E+02		1.580E+00
1.670E+02		1.661E+02		1.586E+00
1.668E+02		1.661E+02		1.592E+00
1.666E+02		1.660E+02		1.598E+00
1.665E+02		1.659E+02		1.604E+00
1.663E+02		1.658E+02		1.610E+00
1.662E+02		1.657E+02		1.616E+00
1.660E+02		1.657E+02		1.622E+00
1.659E+02		1.657E+02		1.628E+00
1.657E+02		1.657E+02		1.635E+00
1.655E+02		1.657E+02		1.641E+00
1.654E+02		1.657E+02		1.647E+00
1.652E+02		1.656E+02		1.653E+00
1.651E+02		1.656E+02		1.659E+00
1.649E+02		1.655E+02		1.666E+00
1.648E+02		1.654E+02		1.672E+00
1.646E+02		1.654E+02		1.679E+00
1.644E+02		1.653E+02		1.685E+00
1.643E+02		1.652E+02		1.691E+00
1.641E+02		1.652E+02		1.698E+00
1.640E+02		1.651E+02		1.704E+00
1.638E+02		1.651E+02		1.711E+00
1.637E+02		1.651E+02		1.717E+00
1.635E+02		1.651E+02		1.724E+00
1.633E+02		1.651E+02		1.730E+00
1.632E+02		1.651E+02		1.737E+00
1.630E+02		1.650E+02		1.744E+00
1.629E+02		1.650E+02		1.750E+00
1.627E+02		1.649E+02		1.757E+00
1.626E+02		1.649E+02		1.764E+00
1.624E+02		1.648E+02		1.770E+00
1.623E+02		1.648E+02		1.777E+00
1.621E+02		1.648E+02		1.784E+00
1.619E+02		1.647E+02		1.791E+00
1.618E+02		1.646E+02		1.798E+00
1.616E+02		1.646E+02		1.805E+00
1.615E+02		1.646E+02		1.812E+00
1.613E+02		1.646E+02		1.819E+00
1.612E+02		1.646E+02		1.826E+00
1.610E+02		1.646E+02		1.833E+00
1.608E+02		1.646E+02		1.839E+00
1.607E+02		1.646E+02		1.847E+00
1.605E+02		1.645E+02		1.854E+00
1.604E+02		1.645E+02		1.861E+00
1.602E+02		1.645E+02		1.868E+00
1.601E+02		1.644E+02		1.875E+00
1.599E+02		1.644E+02		1.882E+00
1.597E+02		1.643E+02		1.889E+00
1.596E+02		1.642E+02		1.897E+00
1.594E+02		1.641E+02		1.904E+00
1.593E+02		1.640E+02		1.911E+00
1.591E+02		1.640E+02		1.919E+00
1.590E+02		1.639E+02		1.926E+00
1.588E+02		1.639E+02		1.934E+00
1.586E+02		1.638E+02		1.941E+00
1.585E+02		1.638E+02		1.948E+00
1.583E+02		1.638E+02		1.956E+00
1.582E+02		1.638E+02		1.964E+00
1.580E+02		1.638E+02		1.971E+00
1.579E+02		1.637E+02		1.979E+00
1.577E+02		1.637E+02		1.986E+00
1.575E+02		1.637E+02		1.994E+00
1.574E+02		1.636E+02		2.002E+00
1.572E+02		1.635E+02		2.010E+00
1.571E+02		1.635E+02		2.017E+00
1.569E+02		1.634E+02		2.025E+00
1.568E+02		1.634E+02		2.033E+00
1.566E+02		1.634E+02		2.041E+00
1.565E+02		1.633E+02		2.049E+00
1.563E+02		1.631E+02		2.057E+00
1.561E+02		1.630E+02		2.065E+00
1.560E+02		1.630E+02		2.073E+00
1.558E+02		1.630E+02		2.081E+00
1.557E+02		1.630E+02		2.089E+00
1.555E+02		1.630E+02		2.097E+00
1.554E+02		1.629E+02		2.105E+00
1.552E+02		1.629E+02		2.113E+00
1.550E+02		1.628E+02		2.121E+00
1.549E+02		1.627E+02		2.130E+00
1.547E+02		1.627E+02		2.138E+00
1.546E+02		1.627E+02		2.146E+00
1.544E+02		1.628E+02		2.155E+00
1.543E+02		1.627E+02		2.163E+00
1.541E+02		1.627E+02		2.171E+00
1.539E+02		1.626E+02		2.180E+00
1.538E+02		1.624E+02		2.188E+00
1.536E+02		1.624E+02		2.197E+00
1.535E+02		1.623E+02		2.206E+00
1.533E+02		1.623E+02		2.214E+00
1.532E+02		1.623E+02		2.223E+00
1.530E+02		1.622E+02		2.232E+00
1.528E+02		1.621E+02		2.240E+00
1.527E+02		1.619E+02		2.249E+00
1.525E+02		1.618E+02		2.258E+00
1.524E+02		1.617E+02		2.267E+00
1.522E+02		1.616E+02		2.276E+00
1.521E+02		1.616E+02		2.284E+00
1.519E+02		1.616E+02		2.293E+00
1.518E+02		1.616E+02		2.302E+00
1.516E+02		1.616E+02		2.312E+00
1.514E+02		1.616E+02		2.321E+00
1.513E+02		1.615E+02		2.330E+00
1.511E+02		1.614E+02		2.339E+00
1.510E+02		1.614E+02		2.348E+00
1.508E+02		1.614E+02		2.357E+00
1.507E+02		1.615E+02		2.367E+00
1.505E+02		1.615E+02		2.376E+00
1.503E+02		1.615E+02		2.385E+00
1.502E+02		1.615E+02		2.395E+00
1.500E+02		1.614E+02		2.404E+00
1.499E+02		1.613E+02		2.413E+00
1.497E+02		1.612E+02		2.423E+00
1.496E+02		1.612E+02		2.432E+00
1.494E+02		1.611E+02		2.442E+00
1.492E+02		1.611E+02		2.452E+00
1.491E+02		1.612E+02		2.461E+00
1.489E+02		1.612E+02		2.471E+00
1.488E+02		1.612E+02		2.481E+00
1.486E+02		1.612E+02		2.491E+00
1.485E+02		1.611E+02		2.500E+00
1.483E+02		1.609E+02		2.510E+00
1.482E+02		1.608E+02		2.520E+00
1.480E+02		1.607E+02		2.530E+00
1.478E+02		1.607E+02		2.540E+00
1.477E+02		1.606E+02		2.550E+00
1.475E+02		1.606E+02		2.560E+00
1.474E+02		1.604E+02		2.570E+00
1.472E+02		1.603E+02		2.580E+00
1.471E+02		1.602E+02		2.591E+00
1.469E+02		1.602E+02		2.601E+00
1.467E+02		1.602E+02		2.611E+00
1.466E+02		1.602E+02		2.622E+00
1.464E+02		1.602E+02		2.632E+00
1.463E+02		1.602E+02		2.643E+00
1.461E+02		1.601E+02		2.653E+00
1.460E+02		1.600E+02		2.664E+00
1.458E+02		1.600E+02		2.674E+00
1.457E+02		1.600E+02		2.685E+00
1.455E+02		1.599E+02		2.696E+00
1.453E+02		1.599E+02		2.706E+00
1.452E+02		1.599E+02		2.717E+00
1.450E+02		1.598E+02		2.728E+00
1.449E+02		1.597E+02		2.739E+00
1.447E+02		1.596E+02		2.750E+00
1.446E+02		1.595E+02		2.761E+00
1.444E+02		1.594E+02		2.772E+00
1.442E+02		1.593E+02		2.783E+00
1.441E+02		1.591E+02		2.794E+00
1.439E+02		1.590E+02		2.805E+00
1.438E+02		1.589E+02		2.816E+00
1.436E+02		1.589E+02		2.828E+00
1.435E+02		1.588E+02		2.839E+00
1.433E+02		1.588E+02		2.850E+00
1.432E+02		1.587E+02		2.862E+00
1.430E+02		1.586E+02		2.873E+00
1.428E+02		1.586E+02		2.885E+00
1.427E+02		1.585E+02		2.896E+00
1.425E+02		1.585E+02		2.908E+00
1.424E+02		1.585E+02		2.920E+00
1.422E+02		1.585E+02		2.931E+00
1.421E+02		1.584E+02		2.943E+00
1.419E+02		1.584E+02		2.955E+00
1.417E+02		1.583E+02		2.967E+00
1.416E+02		1.582E+02		2.979E+00
1.414E+02		1.582E+02		2.991E+00
1.413E+02		1.581E+02		3.003E+00
1.411E+02		1.581E+02		3.015E+00
1.410E+02		1.582E+02		3.027E+00
1.408E+02		1.582E+02		3.040E+00
1.407E+02		1.582E+02		3.052E+00
1.405E+02		1.583E+02		3.064E+00
1.403E+02		1.583E+02		3.077E+00
1.402E+02		1.584E+02		3.089E+00
1.400E+02		1.584E+02		3.101E+00
1.399E+02		1.582E+02		3.114E+00
1.397E+02		1.581E+02		3.126E+00
1.396E+02		1.579E+02		3.139E+00
1.394E+02		1.578E+02		3.151E+00
1.393E+02		1.577E+02		3.164E+00
1.391E+02		1.577E+02		3.177E+00
1.389E+02		1.577E+02		3.190E+00
1.388E+02		1.576E+02		3.203E+00
1.386E+02		1.575E+02		3.216E+00
1.385E+02		1.574E+02		3.229E+00
1.383E+02		1.573E+02		3.242E+00
1.382E+02		1.571E+02		3.255E+00
1.380E+02		1.570E+02		3.268E+00
1.378E+02		1.570E+02		3.282E+00
1.377E+02		1.569E+02		3.295E+00
1.375E+02		1.568E+02		3.308E+00
1.374E+02		1.568E+02		3.322E+00
1.372E+02		1.568E+02		3.336E+00
1.371E+02		1.569E+02		3.349E+00
1.369E+02		1.569E+02		3.363E+00
1.368E+02		1.569E+02		3.376E+00
1.366E+02		1.568E+02		3.390E+00
1.364E+02		1.567E+02		3.404E+00
1.363E+02		1.566E+02		3.418E+00
1.361E+02		1.566E+02		3.432E+00
1.360E+02		1.565E+02		3.446E+00
1.358E+02		1.565E+02		3.460E+00
1.357E+02		1.564E+02		3.474E+00
1.355E+02		1.564E+02		3.488E+00
1.354E+02		1.563E+02		3.502E+00
1.352E+02		1.562E+02		3.517E+00
1.350E+02		1.562E+02		3.531E+00
1.349E+02		1.561E+02		3.546E+00
1.347E+02		1.561E+02		3.560E+00
1.346E+02		1.562E+02		3.575E+00
1.344E+02		1.561E+02		3.589E+00
1.343E+02		1.561E+02		3.604E+00
1.341E+02		1.560E+02		3.619E+00
1.340E+02		1.559E+02		3.634E+00
1.338E+02		1.558E+02		3.649E+00
1.336E+02		1.557E+02		3.664E+00
1.335E+02		1.556E+02		3.679E+00
1.333E+02		1.556E+02		3.694E+00
1.332E+02		1.555E+02		3.709E+00
1.330E+02		1.554E+02		3.724E+00
1.329E+02		1.554E+02		3.740E+00
1.327E+02		1.553E+02		3.755E+00
1.325E+02		1.552E+02		3.770E+00
1.324E+02		1.550E+02		3.786E+00
1.322E+02		1.549E+02		3.802E+00
1.321E+02		1.548E+02		3.817E+00
1.319E+02		1.548E+02		3.833E+00
1.318E+02		1.547E+02		3.849E+00
1.316E+02		1.547E+02		3.865E+00
1.315E+02		1.547E+02		3.881E+00
1.313E+02		1.546E+02		3.897E+00
1.311E+02		1.546E+02		3.913E+00
1.310E+02		1.546E+02		3.930E+00
1.308E+02		1.546E+02		3.946E+00
1.307E+02		1.546E+02		3.962E+00
1.305E+02		1.546E+02		3.979E+00
1.304E+02		1.545E+02		3.995E+00
1.302E+02		1.544E+02		4.012E+00
1.301E+02		1.544E+02		4.028E+00
1.299E+02		1.543E+02		4.045E+00
1.297E+02		1.543E+02		4.062E+00
1.296E+02		1.542E+02		4.079E+00
1.294E+02		1.542E+02		4.096E+00
1.293E+02		1.541E+02		4.112E+00
1.291E+02		1.540E+02		4.130E+00
1.290E+02		1.538E+02		4.147E+00
1.288E+02		1.537E+02		4.164E+00
1.287E+02		1.536E+02		4.181E+00
1.285E+02		1.536E+02		4.199E+00
1.283E+02		1.535E+02		4.216E+00
1.282E+02		1.534E+02		4.234E+00
1.280E+02		1.533E+02		4.252E+00
1.279E+02		1.532E+02		4.269E+00
1.277E+02		1.531E+02		4.287E+00
1.276E+02		1.530E+02		4.305E+00
1.274E+02		1.529E+02		4.323E+00
1.273E+02		1.527E+02		4.341E+00
1.271E+02		1.527E+02		4.360E+00
1.269E+02		1.526E+02		4.378E+00
1.268E+02		1.526E+02		4.397E+00
1.266E+02		1.526E+02		4.415E+00
1.265E+02		1.526E+02		4.434E+00
1.263E+02		1.525E+02		4.452E+00
1.262E+02		1.525E+02		4.471E+00
1.260E+02		1.524E+02		4.490E+00
1.259E+02		1.524E+02		4.509E+00
1.257E+02		1.524E+02		4.528E+00
1.255E+02		1.524E+02		4.547E+00
1.254E+02		1.523E+02		4.566E+00
1.252E+02		1.523E+02		4.585E+00
1.251E+02		1.522E+02		4.604E+00
1.249E+02		1.521E+02		4.624E+00
1.248E+02		1.520E+02		4.644E+00
1.246E+02		1.520E+02		4.663E+00
1.245E+02		1.520E+02		4.683E+00
1.243E+02		1.520E+02		4.703E+00
1.241E+02		1.520E+02		4.723E+00
1.240E+02		1.520E+02		4.743E+00
1.238E+02		1.520E+02		4.763E+00
1.237E+02		1.520E+02		4.783E+00
1.235E+02		1.519E+02		4.803E+00
1.234E+02		1.517E+02		4.823E+00
1.232E+02		1.516E+02		4.843E+00
1.231E+02		1.514E+02		4.864E+00
1.229E+02		1.512E+02		4.884E+00
1.228E+02		1.512E+02		4.905E+00
1.226E+02		1.511E+02		4.926E+00
1.224E+02		1.512E+02		4.948E+00
1.223E+02		1.512E+02		4.969E+00
1.221E+02		1.513E+02		4.990E+00
1.220E+02		1.513E+02		5.011E+00
1.218E+02		1.513E+02		5.032E+00
1.217E+02		1.513E+02		5.054E+00
1.215E+02		1.512E+02		5.075E+00
1.214E+02		1.512E+02		5.097E+00
1.212E+02		1.511E+02		5.118E+00
1.210E+02		1.510E+02		5.140E+00
1.209E+02		1.510E+02		5.162E+00
1.207E+02		1.509E+02		5.184E+00
1.206E+02		1.510E+02		5.207E+00
1.204E+02		1.509E+02		5.229E+00
1.203E+02		1.509E+02		5.251E+00
1.201E+02		1.508E+02		5.273E+00
1.200E+02		1.507E+02		5.295E+00
1.198E+02		1.507E+02		5.318E+00
1.197E+02		1.506E+02		5.341E+00
1.195E+02		1.504E+02		5.363E+00
1.193E+02		1.503E+02		5.386E+00
1.192E+02		1.502E+02		5.409E+00
1.190E+02		1.501E+02		5.432E+00
1.189E+02		1.500E+02		5.456E+00
1.187E+02		1.500E+02		5.479E+00
1.186E+02		1.499E+02		5.503E+00
1.184E+02		1.498E+02		5.526E+00
1.183E+02		1.498E+02		5.550E+00
1.181E+02		1.498E+02		5.574E+00
1.179E+02		1.497E+02		5.598E+00
1.178E+02		1.497E+02		5.622E+00
1.176E+02		1.497E+02		5.646E+00
1.175E+02		1.496E+02		5.671E+00
1.173E+02		1.496E+02		5.695E+00
1.172E+02		1.496E+02		5.720E+00
1.170E+02		1.495E+02		5.744E+00
1.169E+02		1.495E+02		5.769E+00
1.167E+02		1.494E+02		5.794E+00
1.166E+02		1.493E+02		5.819E+00
1.164E+02		1.491E+02		5.843E+00
1.162E+02		1.489E+02		5.868E+00
1.161E+02		1.488E+02		5.894E+00
1.159E+02		1.486E+02		5.919E+00
1.158E+02		1.485E+02		5.945E+00
1.156E+02		1.484E+02		5.971E+00
1.155E+02		1.484E+02		5.997E+00
1.153E+02		1.484E+02		6.023E+00
1.152E+02		1.483E+02		6.049E+00
1.150E+02		1.482E+02		6.075E+00
1.149E+02		1.481E+02		6.102E+00
1.147E+02		1.480E+02		6.128E+00
1.145E+02		1.479E+02		6.155E+00
1.144E+02		1.479E+02		6.182E+00
1.142E+02		1.479E+02		6.209E+00
1.141E+02		1.479E+02		6.236E+00
1.139E+02		1.478E+02		6.263E+00
1.138E+02		1.477E+02		6.290E+00
1.136E+02		1.476E+02		6.318E+00
1.135E+02		1.476E+02		6.346E+00
1.133E+02		1.476E+02		6.374E+00
1.131E+02		1.476E+02		6.402E+00
1.130E+02		1.476E+02		6.430E+00
1.128E+02		1.477E+02		6.458E+00
1.127E+02		1.477E+02		6.486E+00
1.125E+02		1.476E+02		6.514E+00
1.124E+02		1.474E+02		6.542E+00
1.122E+02		1.472E+02		6.570E+00
1.121E+02		1.471E+02		6.599E+00
1.119E+02		1.470E+02		6.628E+00
1.118E+02		1.469E+02		6.657E+00
1.116E+02		1.468E+02		6.686E+00
1.115E+02		1.467E+02		6.715E+00
1.113E+02		1.465E+02		6.744E+00
1.112E+02		1.464E+02		6.774E+00
1.110E+02		1.463E+02		6.804E+00
1.108E+02		1.462E+02		6.834E+00
1.107E+02		1.462E+02		6.865E+00
1.105E+02		1.461E+02		6.895E+00
1.104E+02		1.461E+02		6.926E+00
1.102E+02		1.461E+02		6.956E+00
1.101E+02		1.460E+02		6.987E+00
1.099E+02		1.460E+02		7.018E+00
1.098E+02		1.459E+02		7.049E+00
1.096E+02		1.458E+02		7.079E+00
1.095E+02		1.456E+02		7.110E+00
1.093E+02		1.454E+02		7.141E+00
1.091E+02		1.452E+02		7.173E+00
1.090E+02		1.452E+02		7.206E+00
1.088E+02		1.452E+02		7.239E+00
1.087E+02		1.454E+02		7.272E+00
1.085E+02		1.455E+02		7.305E+00
1.084E+02		1.457E+02		7.338E+00
1.082E+02		1.458E+02		7.371E+00
1.080E+02		1.459E+02		7.404E+00
1.079E+02		1.460E+02		7.437E+00
1.077E+02		1.461E+02		7.470E+00
1.076E+02		1.461E+02		7.503E+00
1.074E+02		1.462E+02		7.536E+00
1.073E+02		1.462E+02		7.569E+00
1.071E+02		1.462E+02		7.602E+00
1.070E+02		1.462E+02		7.636E+00
1.068E+02		1.462E+02		7.669E+00
1.067E+02		1.460E+02		7.702E+00
1.065E+02		1.458E+02		7.734E+00
1.064E+02		1.455E+02		7.767E+00
1.062E+02		1.452E+02		7.801E+00
1.061E+02		1.449E+02		7.835E+00
1.059E+02		1.447E+02		7.870E+00
1.058E+02		1.445E+02		7.905E+00
1.056E+02		1.444E+02		7.942E+00
1.054E+02		1.444E+02		7.978E+00
1.053E+02		1.444E+02		8.014E+00
1.051E+02		1.443E+02		8.049E+00
1.050E+02		1.442E+02		8.085E+00
1.048E+02		1.441E+02		8.121E+00
1.047E+02		1.440E+02		8.158E+00
1.045E+02		1.440E+02		8.194E+00
1.044E+02		1.439E+02		8.231E+00
1.042E+02		1.439E+02		8.268E+00
1.041E+02		1.438E+02		8.306E+00
1.039E+02		1.437E+02		8.342E+00
1.038E+02		1.436E+02		8.380E+00
1.036E+02		1.435E+02		8.417E+00
1.034E+02		1.434E+02		8.455E+00
1.033E+02		1.433E+02		8.493E+00
1.031E+02		1.433E+02		8.532E+00
1.030E+02		1.432E+02		8.570E+00
1.028E+02		1.431E+02		8.608E+00
1.027E+02		1.430E+02		8.647E+00
1.025E+02		1.430E+02		8.687E+00
1.024E+02		1.430E+02		8.726E+00
1.022E+02		1.429E+02		8.765E+00
1.021E+02		1.428E+02		8.804E+00
1.019E+02		1.426E+02		8.843E+00
1.018E+02		1.425E+02		8.883E+00
1.016E+02		1.423E+02		8.923E+00
1.015E+02		1.422E+02		8.964E+00
1.013E+02		1.421E+02		9.005E+00
1.011E+02		1.421E+02		9.046E+00
1.010E+02		1.420E+02		9.087E+00
1.008E+02		1.419E+02		9.128E+00
1.007E+02		1.418E+02		9.169E+00
1.005E+02		1.417E+02		9.211E+00
1.004E+02		1.415E+02		9.252E+00
1.002E+02		1.413E+02		9.293E+00
1.001E+02		1.412E+02		9.335E+00
9.993E+01		1.410E+02		9.378E+00
9.978E+01		1.409E+02		9.421E+00
9.962E+01		1.408E+02		9.465E+00
9.947E+01		1.407E+02		9.509E+00
9.932E+01		1.407E+02		9.553E+00
9.916E+01		1.406E+02		9.596E+00
9.901E+01		1.405E+02		9.640E+00
9.886E+01		1.404E+02		9.684E+00
9.871E+01		1.403E+02		9.728E+00
9.856E+01		1.401E+02		9.772E+00
9.841E+01		1.399E+02		9.815E+00
9.826E+01		1.397E+02		9.860E+00
9.811E+01		1.395E+02		9.905E+00
9.795E+01		1.393E+02		9.952E+00
9.780E+01		1.392E+02		9.998E+00
9.765E+01		1.391E+02		1.004E+01
9.749E+01		1.390E+02		1.009E+01
9.734E+01		1.388E+02		1.014E+01
9.719E+01		1.386E+02		1.018E+01
9.704E+01		1.385E+02		1.023E+01
9.688E+01		1.384E+02		1.028E+01
9.672E+01		1.384E+02		1.033E+01
9.657E+01		1.384E+02		1.038E+01
9.642E+01		1.384E+02		1.043E+01
9.627E+01		1.383E+02		1.047E+01
9.611E+01		1.382E+02		1.052E+01
9.596E+01		1.382E+02		1.057E+01
9.581E+01		1.381E+02		1.062E+01
9.565E+01		1.381E+02		1.067E+01
9.550E+01		1.380E+02		1.072E+01
9.535E+01		1.379E+02		1.077E+01
9.520E+01		1.378E+02		1.082E+01
9.505E+01		1.377E+02		1.087E+01
9.490E+01		1.375E+02		1.092E+01
9.475E+01		1.374E+02		1.097E+01
9.460E+01		1.372E+02		1.102E+01
9.445E+01		1.370E+02		1.107E+01
9.429E+01		1.369E+02		1.113E+01
9.414E+01		1.368E+02		1.118E+01
9.399E+01		1.367E+02		1.123E+01
9.384E+01		1.366E+02		1.129E+01
9.369E+01		1.365E+02		1.134E+01
9.354E+01		1.364E+02		1.139E+01
9.339E+01		1.362E+02		1.144E+01
9.324E+01		1.360E+02		1.150E+01
9.308E+01		1.359E+02		1.155E+01
9.293E+01		1.358E+02		1.161E+01
9.277E+01		1.357E+02		1.166E+01
9.262E+01		1.357E+02		1.172E+01
9.246E+01		1.357E+02		1.178E+01
9.231E+01		1.356E+02		1.183E+01
9.216E+01		1.355E+02		1.189E+01
9.201E+01		1.355E+02		1.195E+01
9.186E+01		1.354E+02		1.200E+01
9.170E+01		1.354E+02		1.206E+01
